Link,Title,Location,Salary,Summary
http://kr.indeed.com/viewjob?jk=e11bc11a4d72cc54,MPK / MPI-SD Joint Postdoctoral Position for Ultrafast Nonli...,POSTECH / Max Planck POSTECH/KOREA Res. Init. 대한민국,,"Experience in computer programming using C/C++, FORTRAN, Python, Mathematica or Matlab is highly desirable. The candidate may..."
http://kr.indeed.com/viewjob?jk=554c2e55cc985488,Data Scientist,Supercell 서울,,innovate and work independently Strong SQL skills and strong Python or R skills; familiarity with Jupyter or RStudio a plus...
http://kr.indeed.com/viewjob?jk=5ed0334bca0963cb,[Autonomous Driving] Virtual Environment...,네이버 대한민국,,"C/C++, Software Design, Debugging Skills ㅇ 스크립트 언어 개발 경험 ( Python, Bash, etc) ㅇ Embedded Platform과 System Software 개발 경험 및 이해..."
http://kr.indeed.com/viewjob?jk=df9e2b3f78d72831,2020년 상반기 각 부문 직원,신테카바이오 대전 유성구,,"관련 석사후 5년이상 경력자 - Python, R 등 프로그래밍 가능자... 터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터..."
http://kr.indeed.com/viewjob?jk=fb617eeb80ea6fa9,AI/빅데이터 분야 (인재 Pool),LG유플러스 3.8 서울,,"Science를 위한 언어(R/ Python) 및 Tool(scikit-learn/Tensorflow 등) 능숙자 . Deep Learning Model 구현 경험자 . Java, Python등을 이용하여 분석을 위한 Data..."
http://kr.indeed.com/viewjob?jk=116009dbf59211ed,퍼즐데이터 역량있는 데이터 분석가,주식회사퍼즐데이터 서울 역삼동,,"데이터 마이닝 및 통계분석에 대한 전반적인 이해 3. 관련분야(산업공학, 통계 등) 전공 4. R or Python 사용 능력 * 이런 분은 더욱 좋아요. 1. 프로세스 마이닝 지식 보유자 2. 관련분야 대학원 전공 3..."
http://kr.indeed.com/viewjob?jk=fe45bc0fe1e1e87a,데이터 분석 인턴,리디 서울,,"계학과, 수학, 데이터분석 학과 등 관련 전공자 데이터 분석 관련 스터디, 학회 활동 경험 엑셀 숙련자 R, Python 사용 가능자 [지원 시 유의 사항] 서류접수기간 : 2020년 4월 3일 - 2020년 4월 17일..."
http://kr.indeed.com/viewjob?jk=2de6b9bf9a6f3655,[클로젯셰어] 데이터 분석가 (정규직),더클로젯 서울 강남구,,"및 Dashboard 제작 -데이터 기반 운영/매출/비용 예측 분석 업무 자격요건 -프로그래밍 능력(R, Python, Matlab) 또는 통계분석 툴 사용 능력 -문서 제작 및 프리젠테이션 능력 뛰어난 분 -데이터 시각화..."
http://kr.indeed.com/viewjob?jk=c1037225077ca4da,데이터 분석가 (Business Intelligence Analyst),코스닥 상장 중견 게임기업 서울 강남구,"연봉 40,000,000원 - 70,000,000원","데이터 분석 결과를 쉽게 이해할 수 있도록 간결하고 명확한 의사전달 능력 [우대조건] * R, Python, Spark 등의 언어에 대한 이해도 * 모바일 앱SDK 연동 지원 업무 경험(Facebook, Admob..."
http://kr.indeed.com/viewjob?jk=df21e3bb5d773616,Python Programmer,Mofac 서울 서초구,,개발 – JAVA 프로그래밍(라이브러리 활용) – Spring 프레임 워크 개발 – Python API 프로그래밍 우대사항 – Python 개발 경험 – Open Source 라이브러리 개발경험 – Web 표준에 대한 경험...
http://kr.indeed.com/viewjob?jk=af4eba857169ba01,[한국오라클] Data Center Technician (Engineer...,한국오라클 3.3 강원도 춘천,,"Base Operating System Install • Some experience with Perl, Python, Bash or Java • Core OS Services: ssh, telnet, ftp, nfs..."
